Signal_record_1;Signal_record_2
Rumble;Tail-Waggling
Trumpet;Ear-Spread
Rumble;Ear-Flapping
Rumble;Tail-Stiff
Rumble;Head-Raise
Rumble;Tail-Raise
Rumble;Back-Towards
Rumble;Ear-Slight-Spread
Rumble;Head-Raise
Rumble;Tail-Raise
Rumble;Trunk-Shaking
Rumble;Ears-Stiff
Rumble;Ear-Slight-Spread
Rumble;Ear-Slight-Spread
Rumble;Rump-Present
Rumble;Ear-Slight-Spread
Rumble;Ears-Stiff
Rumble;Ear-Spread
Rumble;Back-Towards
Rumble;Tail-Touch
Rumble;Ears-Stiff
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Head-Raise
Rumble;Ear-Spread
Rumble;Ear-Flapping
Rumble;Tail-on-Side
Rumble;Ears-Stiff
Rumble;Tail-Raise
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Ear-Slight-Spread
Rumble;Ears-Stiff
Rumble;Ear-Flapping
Rumble;Trunk-Reach_Touch_Unc
Rumble;Ear-Flapping
Rumble;Tail-Waggling
Trumpet;Ear-Slight-Spread
Trumpet;Trunk-Shaking
Rumble;Ears-Stiff
Rumble;Ear-Flapping
Rumble;Ears-Stiff
Rumble;Tail-Stiff
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Ears-Stiff
Rumble;Head-Raise
Rumble;Ears-Stiff
Rumble;Ear-Flapping
Roar;Tail-Waggling
Rumble;Tail-Waggling
Rumble;Back-Towards
Rumble;Tail-Waggling
Rumble;Ears-Stiff
Rumble;Back-Towards
Rumble;Tail-Stiff
Rumble;Ear-Flapping
Rumble;Trunk-Shaking
Rumble;Ear-Flapping
Rumble;Tail-Stiff
Rumble;Ear-Spread
Rumble;Tail-Raise
Rumble;Trunk-Side-Swinging
Rumble;Ear-Brush
Rumble;Ears-Stiff
Trumpet;Ear-Slight-Spread
Trumpet;Tail-Raise
Rumble;Trunk-Reach
Rumble;Head-Raise
Rumble;Ears-Stiff
Rumble;Ear-Flapping
Rumble;Ears-Stiff
Rumble;Ear-Slight-Spread
Rumble;Trunk-Reach
Rumble;Ears-Stiff
Rumble;Ear-Slight-Spread
Rumble;Tail-Stiff
Trumpet;Head-Raise
Roar;Head-Raise
Roar;Rump-Present
Roar;Tail-Waggling
Roar;Ear-Slap
Trumpet;Tail-Waggling
Rumble;Trunk-Side-Swinging
Rumble;Tail-Touch
Rumble;Ear-Spread
Rumble;Trunk-Shaking
Rumble;Back-Towards
Rumble;Rubbing-Other
Trumpet;Ear-Spread
Trumpet;Tail-Raise
Rumble;Ear-Spread
Rumble;Ears-Stiff
Rumble;Head-Raise
Trumpet;Ear-Slight-Spread
Rumble;Trunk-Side-Swinging
Rumble;Tail-Raise
Roar;Tail-Raise
Rumble;Ears-Stiff
Rumble;Tail-Waggling
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Tail-Waggling
Rumble;Ear-Spread
Rumble;Tail-Stiff
Rumble;Ear-Spread
Rumble;Ear-Flapping
Rumble;Ear-Flapping
Rumble;Tail-Waggling
