File_name;Com_number;diff_V_B;diff_1_2;Overlapping;S_number_1;Signal_1;S_start_T_1;S_end_T_1;S_duration_1;S_Dur_ana_1;Signal_record_1;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;S_number_2;Signal_2;S_start_T_2;S_end_T_2;S_duration_2;S_Dur_ana_2;Signal_record_2;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
ZEWACT_121121_Exp9_LG1;VEC0009b;1960;1960;Yes;VEG0119;Gesture;362700;367800;5100;Include;Rump-Present;No;Yes;Yes;NA;VEV0030;Vocalisation;364660;369440;4780;Include;Rumble;Visual;Rump;NV;No;NV;Self_Loc;1_3;None;NV;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;364000;Time_ex_rcp;350000;Ch_rumble_time_inc;338880;Ear-Slap
ZEWACT_141121_Exp10_LG1;VEC0010b;2301;2301;Yes;VEG0122;Gesture;309946;313120;3174;Include;Ear-Spread;Unk;Yes;Yes;NA;VEV0027;Vocalisation;312247;315237;2990;Include;Roar;Visual;Ear;NV;No;NV;App_Undir;0_1;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;314880;Goal_sgn;300920;Unk;302080;Unk
ZEWACT_141121_Exp10_LG1;VEC0010b;2087;2087;Yes;VEG0124;Gesture;316713;320000;3287;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0028;Vocalisation;318800;326088;7288;Include;Rumble;Audible;Ear;2;Yes;Neck;App_Undir;0;None;B;NV;VA_front;Perpendicular;No_VA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;314880;Goal_sgn;300920;Unk;302080;Unk
ZEWACT_141121_Exp10_LG1;VEC0010b;700;700;Yes;VEG0135;Gesture;318100;321440;3340;Exclude_end;Tail-Waggling;No;Yes;Yes;NA;VEV0028;Vocalisation;318800;326088;7288;Include;Rumble;Unk;Tail;2;No;NV;App_Undir;u_0;None;NV;NV;Looking_Back;Perpendicular;No_VA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;314880;Goal_sgn;300920;Unk;302080;Unk
ZEWACT_161121_Exp13_LG1;VEC0012b;957;957;Yes;VEG0150;Gesture;258023;259253;1230;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0035;Vocalisation;258980;263004;4024;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;288873;Goal_sgn;273040;Rumble;254640;Ear-Flapping
ZEWACT_161121_Exp13_LG1;VEC0012b;100;100;Yes;VEG0155;Gesture;267820;269917;2097;Include;Ear-Flapping;No;No;Yes;NA;VEV0036;Vocalisation;267920;271720;3800;Exclude_end;Rumble;Audible;Ear;1;Yes;NV;App_Undir;10_20;None;B;NV;VA_90;Parallel;VA_90;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;288873;Goal_sgn;273040;Rumble;254640;Ear-Flapping
ZEWACT_161121_Exp13_LG1;VEC0012b;1692;1692;Yes;VEG0160;Gesture;278628;282014;3386;Include;Ear-Spread;No;No;Yes;NA;VEV0037;Vocalisation;280320;285080;4760;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;5_10;None;B;NV;VA_front;Perpendicular;VA_90;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;288873;Goal_sgn;273040;Rumble;254640;Ear-Flapping
ZEWACT_161121_Exp13_LG1;VEC0012b;2046;2046;Yes;VEG0164;Gesture;286874;291360;4486;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0047;Vocalisation;288920;292160;3240;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_90;Parallel;VA_90;HW;20;Female;Rest;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.375132225;Same;NA;288873;Goal_sgn;273040;Rumble;254640;Ear-Flapping
ZEWACT_161121_Exp13_LG1;VEC0012a;2800;2800;Yes;VEG0176;Gesture;270240;273320;3080;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0038;Vocalisation;273040;277120;4080;Include;Rumble;Audible;Ear;2;Yes;Neck;App_Undir;5_10;None;B;NV;VA_front;Perpendicular;VA_90;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;288873;Goal_rcp;249400;Rumble;247793;Tail-Raise
ZEWACT_161121_Exp13_LG1;VEC0012a;1740;1740;Yes;VEG0185;Gesture;271300;273300;2000;Exclude_end;Tail-Waggling;No;Yes;Yes;NA;VEV0038;Vocalisation;273040;277120;4080;Include;Rumble;Unk;Tail;Unk;No;NV;App_Undir;5_10;None;NV;NV;VA_front;Perpendicular;VA_90;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;288873;Goal_rcp;249400;Rumble;247793;Tail-Raise
ZEWACT_161121_Exp13_LG1;VEC0012a;20;20;Yes;VEG0187;Gesture;287740;288700;960;Include;Tail-Waggling;No;Yes;Yes;NA;VEV0039;Vocalisation;287760;293520;5760;Include;Rumble;Unk;Tail;1;No;NV;Self;0_1;None;NV;NV;No_VA;Behind;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;288873;Goal_rcp;249400;Rumble;247793;Tail-Raise
ZEWACT_161121_Exp13_LG1;VEC0012a;1560;1560;Yes;VEG0192;Gesture;286200;289650;3450;Include;Head-Raise;No;Yes;Yes;NA;VEV0039;Vocalisation;287760;293520;5760;Include;Rumble;Visual;Head;NV;No;NV;App_Undir;1_3;None;NV;NV;VA_90;Parallel;VA_90;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;HW;20;Female;0.375132225;Same;NA;288873;Goal_rcp;249400;Rumble;247793;Tail-Raise
ZEWACT_171121_Exp15_LG1;VEC0014a;520;520;Yes;VEG0207;Gesture;240413;241640;1227;Include;Ear-Slap;No;Yes;Yes;NA;VEV0041;Vocalisation;240933;244773;3840;Include;Rumble;Audible;Ear;NV;Yes;Neck;App_Undir;50_100;None;Ba;NV;VA_90;Perpendicular;VA_front;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;302800;Time_ex_sgn;265209;Unk;243100;Unclear
ZEWACT_171121_Exp15_LG1;VEC0014a;574;574;Yes;VEG0211 ;Gesture;247039;248845;1806;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0042;Vocalisation;247613;252106;4493;Include;Rumble;Audible;Ear;1;Yes;Neck;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;302800;Time_ex_sgn;265209;Unk;243100;Unclear
ZEWACT_171121_Exp16_LG1;VEC0015a;16214;16214;Yes;VEG0257;Gesture;543126;559700;16574;Include;Tail-Waggling;No;No;Yes;NA;VEV0048;Vocalisation;559340;560020;680;Include;Trumpet;Unk;Tail;9;No;NV;App_Undir;10_20;None;NV;NV;VA_front;In front;VA_front;MN;26;Male;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.160529737;Same;NA;565400;Time_ex_rcp;534120;Rumble;424000;Unk
ZEWACT_171121_Exp16_LG1;VEC0015b;3140;3140;Yes;VEG0282;Gesture;563740;567000;3260;Include;Trunk-Reach_Touch_Unc;No;Yes;Yes;NA;VEV0053;Vocalisation;566880;571720;4840;Include;Rumble;Unk;Trunk;NV;No;NV;App_Undir;0_1;None;NV;Body;VA_90;Perpendicular;Unclear;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;560000;Time_ex_sgn;544840;Unk;534800;Ear-Flapping
ZEWACT_181121_Exp17_LG1;VEC0016a;9112;9112;Yes;VEG0292;Gesture;323028;332500;9472;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0059;Vocalisation;332140;339120;6980;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;10_20;None;B;NV;Unk;Not in frame;VA_front;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;268331;Time_ex_amb;285280;Roar;268331;Unk
