;File_name;Com_number;S_number;Signal;S_start_T;S_end_T;S_duration;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
22;ZEWACT_081121_Exp2;VEC0005a;VEG0011;Gesture;111085;124785;13700;Exclude_start;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;50_100;None;B;NV;VA_front;In front;VA_front;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
23;ZEWACT_081121_Exp2;VEC0005a;VEG0012;Gesture;124785;125570;785;Include;Ear-Flapping;Audible;Ear;1;Unk;NV;App_Undir;3_5;None;B;NV;VA_front;In front;Looking_Back;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
24;ZEWACT_081121_Exp2;VEC0005a;VEG0013;Gesture;125570;127920;2350;Include;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;3_5;None;B;NV;VA_front;In front;Looking_Back;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
25;ZEWACT_081121_Exp2;VEC0005a;VEG0014;Gesture;127920;128558;638;Include;Ear-Flapping;Audible;Ear;1;Unk;NV;App_Undir;1_3;None;B;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
26;ZEWACT_081121_Exp2;VEC0005a;VEG0015;Gesture;128558;129622;1064;Include;Ear-Slight-Spread;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;In front;No_VA;NA;NA;NA;lift;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
27;ZEWACT_081121_Exp2;VEC0005a;VEG0016;Gesture;129622;130720;1098;Include;Ear-Flapping;Audible;Ear;1;Unk;NV;App_Undir;u_0;None;B;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
28;ZEWACT_081121_Exp2;VEC0005a;VEG0017;Gesture;130720;133590;2870;Include;Ear-Slight-Spread;Visual;Ear;NV;No;NV;App_Undir;0_1;None;B;NV;VA_front;In front;Unk;NA;NA;NA;lift;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
29;ZEWACT_081121_Exp2;VEC0005a;VEG0018;Gesture;133590;135100;1510;Include;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;Parallel;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
30;ZEWACT_081121_Exp2;VEC0005a;VEG0019;Gesture;135104;136560;1456;Include;Ear-Flapping;Audible;Ear;1;Unk;NV;App_Undir;1_3;None;B;NV;VA_90;Perpendicular;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
31;ZEWACT_081121_Exp2;VEC0005a;VEG0020;Gesture;136960;138640;1680;Include;Ear-Flapping;Audible;Ear;1;Yes;Neck;App_Undir;1_3;None;B;NV;VA_90;Perpendicular;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
